2023-01-29 01:00:21,카누,농심,2,152200
2023-02-28 01:00:21,Cinema,오리온,3,3980
2023-03-02 03:00:21,용가리,하림,1,4980
2023-04-13 12:00:21,Salary,대상,2,5480
2023-05-02 20:00:21,삼양라면,삼양식품,8,9480
2023-05-02 01:00:21,Pizza,크라운제과,7,7480
2023-05-03 01:00:21,Pizza,대상,5,20000
2023-08-03 17:00:21,빵파레,빙그레,8,20000
2023-09-04 18:00:21,새우깡,농심,5,20000
2023-10-03 19:00:21,pasta,오리온,1,20000
2023-12-03 02:00:21,짜장면,종원이형,4,8000
2023-12-04 04:00:21,coffee,starbucks,1,5000
2023-03-02 06:00:21,치킨너겟,하림,3,20000
2023-04-02 10:10:21,닭가슴살,하림,5,20000
2023-05-02 12:00:21,햄,하림,6,20000
2023-06-12 13:00:21,3분카레,오뚜기,13,20000
2023-07-02 05:00:21,둥지냉면,농심,2,20000
2023-08-04 03:00:21,생칼국수,하림,20,20000
2023-09-04 04:00:21,중화짬뽕,하림,100,20000
2023-10-02 08:01:21,까르보나라,하림,5,20000
2023-02-02 05:02:21,불닭볶음면,종원이형,10,20000
2023-03-02 10:03:56,신라면,농심,1,20000
2023-03-02 11:00:21,가쓰오,하림,1,20000
2023-03-03 11:00:46,간짜장,오뚜기,1,2150
2023-03-01 11:00:35,쫄면,하림,4,15000
2023-03-02 10:01:41,가쓰오우동,하림,1,25000
2023-03-02 09:02:31,김밥,CJ,8,14000
2023-06-12 09:03:21,김밥,하림,1,14000
2023-05-02 09:04:21,김밥,하림,2,14000
2023-03-02 08:00:21,쌀국수,삼양,7,12000
2023-06-16 11:00:21,짬뽕순두부,종원이형,5,12000
2023-03-02 12:00:21,해주냉면,하림,1,12000
2023-07-05 12:00:21,유니짜장,오리온,6,12000
2023-03-02 13:00:21,가벼운 고단백,하림,4,2000
2023-03-02 13:00:21,무거운 저단백,하림,3,2000
2023-06-12 14:00:21,비비고 왕교자,CJ,100,2000
2023-03-03 15:00:21,심야식당,하림,5,6200
2023-03-12 18:00:21,치킨,하림,8,20000
2023-03-14 19:00:21,트러플 파스타,하림,4,20000
2023-03-15 15:00:21,돈까스,하림,17,10480
